City,Company Name or Owners's Name,Company Type,building,address,full_address
TORONTO,A. M. S. Stewart & Co.,Real Estate:,,56 Victoria,"56 Victoria, Toronto, Ontario, Canada"
TORONTO,Fred J. Stewart,Real Estate:,,32 Victoria,"32 Victoria, Toronto, Ontario, Canada"
TORONTO,Stinson & Hollwey,Real Estate:,,41 Victoria,"41 Victoria, Toronto, Ontario, Canada"
TORONTO,A. C. Stoddard & Co.,Real Estate:,,34 Victoria,"34 Victoria, Toronto, Ontario, Canada"
TORONTO,"A. G. Strathy, Ltd.",Real Estate:,,123 Simcoe,"123 Simcoe, Toronto, Ontario, Canada"
TORONTO,Strother & Davis,Real Estate:,Lumsden bldg.,,"Lumsden bldg., Toronto, Ontario, Canada"
TORONTO,Frederick Sullivan,Real Estate:,,49 Adelaide E.,"49 Adelaide E., Toronto, Ontario, Canada"
TORONTO,Sutton Co.,Real Estate:,,37 Richmond W.,"37 Richmond W., Toronto, Ontario, Canada"
TORONTO,"Suydam Rlty. Co., Ltd.",Real Estate:,,59 Victoria,"59 Victoria, Toronto, Ontario, Canada"
TORONTO,John T. Symons,Real Estate:,,23 Toronto,"23 Toronto, Toronto, Ontario, Canada"
TORONTO,Tanner & Gates,Real Estate:,,46 Victoria,"46 Victoria, Toronto, Ontario, Canada"
TORONTO,A. I. Taylor & Co.,Real Estate:,,393 Symington ave.,"393 Symington ave., Toronto, Ontario, Canada"
TORONTO,Taylor & Corey,Real Estate:,Manning Chbrs.,,"Manning Chbrs., Toronto, Ontario, Canada"
TORONTO,T. R. Tennant,Real Estate:,,Victoria & Richmond,"Victoria & Richmond, Toronto, Ontario, Canada"
TORONTO,C. H. Thompson & Co.,Real Estate:,,96 Victoria,"96 Victoria, Toronto, Ontario, Canada"
TORONTO,"Enoch Thompson, Ltd.",Real Estate:,,152 Bay,"152 Bay, Toronto, Ontario, Canada"
TORONTO,S. G. Thompson,Real Estate:,,793 Yonge,"793 Yonge, Toronto, Ontario, Canada"
TORONTO,Wm. S. Thompson & Co.,Real Estate:,,686 Bloor W.,"686 Bloor W., Toronto, Ontario, Canada"
TORONTO,C. W. Thomson,Real Estate:,,147 Victoria,"147 Victoria, Toronto, Ontario, Canada"
TORONTO,Tickner & Sutherland,Real Estate:,,84 Victoria,"84 Victoria, Toronto, Ontario, Canada"
TORONTO,F. C. Tisdell,Real Estate:,,71 Adelaide E.,"71 Adelaide E., Toronto, Ontario, Canada"
TORONTO,W. C. Tolton,Real Estate:,,204 Crawford,"204 Crawford, Toronto, Ontario, Canada"
TORONTO,Toronto Sec. Co.,Real Estate:,Kent bldg.,,"Kent bldg., Toronto, Ontario, Canada"
TORONTO,J. A. Tovell,Real Estate:,,936 Keele,"936 Keele, Toronto, Ontario, Canada"
TORONTO,Trollope & Co.,Real Estate:,,177 Dundas,"177 Dundas, Toronto, Ontario, Canada"
TORONTO,"Trusts & Guarantee Co., Ltd.",Real Estate:,,45 King W.,"45 King W., Toronto, Ontario, Canada"
TORONTO,"Union Trust Co., Ltd.",Real Estate:,Temple bldg.,,"Temple bldg., Toronto, Ontario, Canada"
TORONTO,"United Rlty., Ltd.",Real Estate:,,1395 Queen W.,"1395 Queen W., Toronto, Ontario, Canada"
TORONTO,"Ussher, Strathy & Co.",Real Estate:,,47 King W.,"47 King W., Toronto, Ontario, Canada"
TORONTO,F. E. Van Dusen,Real Estate:,,431 Roncesvalle ave.,"431 Roncesvalle ave., Toronto, Ontario, Canada"
TORONTO,Victoria Rlty. Co.,Real Estate:,,90 Victoria,"90 Victoria, Toronto, Ontario, Canada"
TORONTO,Vicars Estates Co.,Real Estate:,,128 Yonge,"128 Yonge, Toronto, Ontario, Canada"
TORONTO,Waddington & Grundy,Real Estate:,,86 King E.,"86 King E., Toronto, Ontario, Canada"
TORONTO,Edward Wakefield,Real Estate:,,1653 Dundas,"1653 Dundas, Toronto, Ontario, Canada"
TORONTO,Thos. Wakefield,Real Estate:,,St. Clair & Ossington,"St. Clair & Ossington, Toronto, Ontario, Canada"
TORONTO,James J. Walsh,Real Estate:,,37 Adelaide E.,"37 Adelaide E., Toronto, Ontario, Canada"
TORONTO,Wanamaker & McKinnon,Real Estate:,,Gerrard &,"Gerrard &, Toronto, Ontario, Canada"
TORONTO,Marjory,Real Estate:,,,
TORONTO,T. E. Washington,Real Estate:,,116 Victoria,"116 Victoria, Toronto, Ontario, Canada"
TORONTO,G. H. Webb,Real Estate:,,1692 Dundas,"1692 Dundas, Toronto, Ontario, Canada"
TORONTO,Webb & Purves,Real Estate:,,38 Toronto,"38 Toronto, Toronto, Ontario, Canada"
TORONTO,S. Weber,Real Estate:,,226 Simcoe,"226 Simcoe, Toronto, Ontario, Canada"
TORONTO,Alfred Welsch,Real Estate:,,1262 Bloor W.,"1262 Bloor W., Toronto, Ontario, Canada"
TORONTO,West End Brokerage & Estate Co.,Real Estate:,,3,"3, Toronto, Ontario, Canada"
TORONTO,Arthur,Real Estate:,,,
TORONTO,Western Assurance Co.,Real Estate:,,Wellington &,"Wellington &, Toronto, Ontario, Canada"
TORONTO,Scott,Real Estate:,,,
TORONTO,Western Canada Inv. Co.,Real Estate:,,40 Victoria,"40 Victoria, Toronto, Ontario, Canada"
TORONTO,"Westrop, Minaker & Nicholson",Real Estate:,,48 Ade-,"48 Ade-, Toronto, Ontario, Canada"
TORONTO,laide E.,Real Estate:,,,
TORONTO,J. M. Whaley,Real Estate:,,Yonge & Briar Hill,"Yonge & Briar Hill, Toronto, Ontario, Canada"
TORONTO,R. H. White,Real Estate:,,966 Bloor W.,"966 Bloor W., Toronto, Ontario, Canada"
TORONTO,White & Co.,Real Estate:,,58 Victoria,"58 Victoria, Toronto, Ontario, Canada"
TORONTO,R. H. Whiteway,Real Estate:,,512 Delaware ave.,"512 Delaware ave., Toronto, Ontario, Canada"
TORONTO,J. W. G. Whitney & Son,Real Estate:,,25 Toronto,"25 Toronto, Toronto, Ontario, Canada"
TORONTO,E. D. Whyte,Real Estate:,,52 Adelaide E.,"52 Adelaide E., Toronto, Ontario, Canada"
TORONTO,J. P. Wilhelm,Real Estate:,Conf. Life bldg.,,"Conf. Life bldg., Toronto, Ontario, Canada"
TORONTO,Wilkins & Co.,Real Estate:,,136 Walmer rd.,"136 Walmer rd., Toronto, Ontario, Canada"
TORONTO,E. Willfong,Real Estate:,,6 Toronto,"6 Toronto, Toronto, Ontario, Canada"
TORONTO,Geo. Williams,Real Estate:,,559½ Queen W.,"559½ Queen W., Toronto, Ontario, Canada"
TORONTO,H. H. Williams & Co.,Real Estate:,,38 King E.,"38 King E., Toronto, Ontario, Canada"
TORONTO,Walter H. Williams,Real Estate:,,43 Victoria,"43 Victoria, Toronto, Ontario, Canada"
TORONTO,Williams & Heward,Real Estate:,,34 Victoria,"34 Victoria, Toronto, Ontario, Canada"
TORONTO,John H. Wills,Real Estate:,,140 Ossington ave.,"140 Ossington ave., Toronto, Ontario, Canada"
TORONTO,A. M. Wilson,Real Estate:,,1642 Dundas,"1642 Dundas, Toronto, Ontario, Canada"
TORONTO,S. Frank Wilson & Sons,Real Estate:,,73 Adelaide W.,"73 Adelaide W., Toronto, Ontario, Canada"
TORONTO,Thomas Wilson,Real Estate:,,689 Shaw,"689 Shaw, Toronto, Ontario, Canada"
TORONTO,"Winyard, Cooch & Co.",Real Estate:,,62 Victoria,"62 Victoria, Toronto, Ontario, Canada"
TORONTO,Frank A. Wood,Real Estate:,,47 Adelaide E.,"47 Adelaide E., Toronto, Ontario, Canada"
TORONTO,Wood & Barnett,Real Estate:,Lumsden bldg.,,"Lumsden bldg., Toronto, Ontario, Canada"
TORONTO,Thos. Yellowlees,Real Estate:,,23 Division,"23 Division, Toronto, Ontario, Canada"
TORONTO,J. A. Yeomans,Real Estate:,Crown Life bldg.,,"Crown Life bldg., Toronto, Ontario, Canada"
TORONTO,J. D. Young & Son,Real Estate:,,274 College,"274 College, Toronto, Ontario, Canada"
